film,director,release year,rating
Los Angeles Plays Itself,Thom Andersen,2003,5.0
Falling Down,Joel Schumacher,1993,4.0
The Green Mile,Frank Darabont,1999,3.5
Easy Rider,Dennis Hopper,1969,5.0
2001: A Space Odyssey,Stanley Kubrick,1968,5.0
Alan Partridge: Alpha Papa,Declan Lowney,2013,3.5
Rebel Without a Cause,Nicholas Ray,1955,4.0
Darkman,Sam Raimi,1990,4.5
Megalopolis,Francis Ford Coppola,2024,3.5
Boyhood,Richard Linklater,2014,3.5
A Simple Twist of Fate,Gil MacKinnon,1994,2.5
Planes Trains and Automobiles,John Hughes,1987,4.0
Manhattan Murder Mystery,Woody Allen,1993,3.5
Pulp Fiction,Quentin Tarantino,1994,4.0
The Addams Family,Barry Sonnenfeld,1991,3.5
The Curse of the Jade Scorpion,Woody Allen,2001,3.0
Christine,John Carpenter,1983,4.0
Burroughs,Howard Brookner,1983,3.5
Vertigo,Alfred Hitchcock,1954,4.5
Rope,Alfred Hitchcock,1948,4.0
Rear Window,Alfred Hitchcock,1954,3.5
Psycho,Alfred Hitchcock,1960,4.5
Marnie,Alfred Hitchcock,1964,2.0
Hollywood Ending,Woody Allen,2002,3.0
Hannah and Her Sisters,Woody Allen,1988,3.5
Nosferatu,Robert Eggers,2024,2.0
A Complete Unknown,James Mangold,2024,1.5
Queer,Luca Guadagnino,2024,5.0
Putney Swope,Robert Downey,1969,3.5
Anything Else,Woody Allen,2003,1.5
Small Time Crooks,Woody Allen,2000,3.0
The Straight Story,David Lynch,1999,4.0
Empire of the Sun,Steven Spielberg,1987,4.0
An American in Paris,Vincente Minnelli,1951,5.0
Singin' in the Rain,Gene Kelly,1952,3.5
Robin Hood: Men in Tights,Mel Brooks,1993,3.5
Napoleon Dynamite,Jared Hess,2004,3.5
The Jerk,Carl Reiner,1979,3.5
Caddyshack,Harold Ramis,1980,5.0
Brooklyn Bridge,Ken Burns,1981,5.0
Benjamin Franklin,Ken Burns,2022,4.5
Leonardo da Vinci,Ken Burns,2024,5.0
Frank Lloyd Wright,Ken Burns,1998,4.0
High Anxiety,Mel Brooks,1977,3.5
History of the World Part 1,Mel Brooks,1981,2.0
Lost Highway,David Lynch,1977,4.5
Intolerable Cruelty,Joel Coen,2003,3.5
A Serious Man,Joel Coen,2009,3.5
Barton Fink,Joel Coen,1991,3.0
Burn After Reading,Joel Coen,2008,4.0
Beetlejuice Beetlejuice,Tim Burton,2024,3.5
